carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce,plateau_capacity_mAh_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,record_id,doi,material_name,category,electrolyte_text,reversible_capacity_mAh_g,mapping_method,mapping_found
1200.0,0.374,1.85,29.6,0,30.0,0.7440000000000001,1.06686359035353,145.8,3.0,5.0,0.109,,,,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-2-1200,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,264.4,primary_exact,True
1100.0,0.408,2.14,13.0,0,30.0,0.755,1.1254595387042978,133.02,3.0,5.0,0.045,,,,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-6-1100,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,276.8,primary_exact,True
1300.0,0.379,1.87,4.2,0,30.0,0.804,1.4114846099484497,149.72,3.0,5.0,,,,,Micros+B302:B310tructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-6-1300,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,276.0,primary_exact,True
700.0,0.384,1.04,1041.2,0,100.0,0.3327,-0.6959985368851297,0.0,5.0,,0.6,,,,Modulating electronic structure with heteroatom dopants in porous hard carbon towards ultralong lifespan sodium-ion batteries,NSDC,酯类,1.0 M NaPF6 dissolved in ethylene carbonate (EC)/propylene carbonate (PC) (1:1 by volume) with 2% fluoroethylene carbonate (FEC),366.1,primary_exact,True
1000.0,0.403,2.11,393.84,0,30.0,0.5256000000000001,0.1024896194868853,52.8,2.0,5.0,,,,263.0,Modulating the Graphitic Domains and Pore Structure of Corncob-Derived Hard Carbons by Pyrolysis to Improve Sodium Storage,CC-1000,酯类,1.0 M NaClO4 in ethylene carbonate (EC): dimethyl carbonate (DMC) = 1:1 vol.% ,128.25,primary_exact,True
800.0,0.37,1.09,477.838,0,25.0,0.354,-0.6015025906488274,38.4,2.0,,0.625,,,273.0,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-0,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),194.0,primary_exact,True
800.0,0.38,1.06,449.073,0,25.0,0.3697,-0.5335040305764784,32.68,2.0,,0.769,,,,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-0.5,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),210.0,primary_exact,True
800.0,0.38,1.17,282.87,0,25.0,0.5044,0.0176004543357768,63.3,2.0,,0.381,,,,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-1,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),289.0,primary_exact,True
800.0,0.38,1.09,505.317,0,25.0,0.3765,-0.5044307178801427,43.97,2.0,,0.63,,,,Nitrogen doped soap-nut seeds derived hard carbon as an efficient anode material for Na-ion batteries,SNS-1.5,酯类,1 M NaClO4 in ethylene carbonate (EC) and propylene carbonate (PC) (1:1 v/v),215.0,primary_exact,True
900.0,0.392,1.02,55.8,0,100.0,0.433,-0.2696215757252622,0.0,2.0,5.0,0.29,,,,Nitrogen/oxygen/sulfur tri-doped hard carbon nanospheres derived from waste tires with high sodium and potassium anodic performances,NOS-HC900,酯类,"1.0 M KPF6 in a mixed solution of EC, DEC, and EMC (1 : 1 : 1 in Vol) with 0.5% FEC",425.3,primary_exact,True
800.0,0.391,0.96,75.7,1,100.0,0.63,0.5322168137473082,46.33,2.0,5.0,,,,282.0,Nitrogen/phosphorus co-doped ultramicropores hard carbon spheres for rapid sodium storage,NUCS,醚类,1.0 M NaPF6 in diglyme,176.3,primary_exact,True
900.0,0.364,1.1,491.0,1,50.0,0.5115999999999999,0.0464083274681378,25.75,2.0,2.0,0.17,0.21,0.38,,Novel Structural Design and Adsorption/Insertion Coordinating Quasi-Metallic Na Storage Mechanism toward High-performance Hard Carbon Anode Derived from Carboxymethyl Cellulose,N-CNS-900,醚类,1.0 mol L-1 NaPF6 dissolved in dimethyl ether (DME),170.5,primary_exact,True
1200.0,0.377,0.98,341.0,1,50.0,0.654,0.6366685763994745,51.5,2.0,2.0,0.11,1.55,3.15,,Novel Structural Design and Adsorption/Insertion Coordinating Quasi-Metallic Na Storage Mechanism toward High-performance Hard Carbon Anode Derived from Carboxymethyl Cellulose,N-CNS-1200,醚类,1.0 mol L-1 NaPF6 dissolved in dimethyl ether (DME),183.6,primary_exact,True
1200.0,0.346,0.98,169.52,0,30.0,0.599,0.4013001708088801,97.0,2.0,5.0,0.281,,,288.0,One stone two birds: Pitch assisted microcrystalline regulation and defect engineering in coal-based carbon anodes for sodium-ion batteries,LC,酯类,1 M NaClO4 in ethylene (EC) and diethyl carbonate (DEC) (1:1 in volume) with 5% fluoroethylene carbonate (FEC),290.2,primary_exact,True
1200.0,0.386,1.75,5.95,0,30.0,0.853,1.7583269607129426,185.7,2.0,5.0,0.024,,,,One stone two birds: Pitch assisted microcrystalline regulation and defect engineering in coal-based carbon anodes for sodium-ion batteries,PCLC-1,酯类,1 M NaClO4 in ethylene (EC) and diethyl carbonate (DEC) (1:1 in volume) with 5% fluoroethylene carbonate (FEC),312.2,primary_exact,True
1200.0,0.374,1.49,4.6,0,30.0,0.797,1.367648699748428,151.9,2.0,5.0,0.031,,,,One stone two birds: Pitch assisted microcrystalline regulation and defect engineering in coal-based carbon anodes for sodium-ion batteries,PCLC-10,酯类,1 M NaClO4 in ethylene (EC) and diethyl carbonate (DEC) (1:1 in volume) with 5% fluoroethylene carbonate (FEC),275.3,primary_exact,True
1500.0,0.367,1.42,11.2,0,7.44,0.83,1.5856272637403817,186.75,1.0,5.0,0.0141,1.15,3.9,294.0,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-C1500,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",286.0,primary_exact,True
1500.0,0.373,1.55,8.5,0,7.44,0.85,1.7346010553881064,227.76,1.0,5.0,0.0064,1.04,3.83,,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-MC1500,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",329.0,primary_exact,True
1500.0,0.375,1.54,6.0,0,7.44,0.85,1.7346010553881064,218.93,1.0,5.0,0.0069,1.08,3.76,,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-MG1500,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",317.0,primary_exact,True
1600.0,0.37,1.44,8.2,0,7.44,0.88,1.9924301646902065,229.34,1.0,5.0,0.007,1.13,3.94,,Optimization of tannin-derived hard carbon spheres for high-performance sodium-ion batteries,HC-MG1600,酯类,"1 M NaPF6 salt (sodium hexafluorophosphate) dissolved in a mixture of ethylene carbonate/dimethyl carbonate (EC/DMC), with a 1 : 1 volume ratio",313.0,primary_exact,True
800.0,0.394,0.957,305.051,1,100.0,0.521,0.0840494443424518,0.0,2.0,5.0,0.1921,,,,P-doped hard carbon microspheres for sodium-ion battery anodes with superior rate and cyclic performance,PHCS1,醚类,1.0 M NaPF6 in Diglyme,115.2,primary_exact,True
800.0,0.416,0.976,46.269,1,100.0,0.581,0.3268798369297733,29.01,2.0,5.0,0.0893,,,,P-doped hard carbon microspheres for sodium-ion battery anodes with superior rate and cyclic performance,PHCS3,醚类,1.0 M NaPF6 in Diglyme,206.3,primary_exact,True
1000.0,0.373,2.7,49.6,0,100.0,0.64,0.5753641449035619,42.71,4.0,,,1.43,1.81,,Phosphate-Induced Reaction to Prepare Coal-Based P-Doped Hard Carbon with a Hierarchical Porous Structure for Improved Sodium-Ion Storage,BPHC,酯类, 1.0 M NaClO4 in EC:PC (1:1 vol% with 5.0% FEC),189.28,primary_exact,True
1400.0,0.418,1.48,3.63,1,30.0,0.727,0.9794546823485596,120.0,3.0,5.0,0.0063,3.2,,,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-15,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),238.1,primary_exact,True
1400.0,0.42,1.74,1.47,1,30.0,0.8340000000000001,1.614245614002204,230.1,3.0,5.0,0.0051,2.98,,,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-30,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),332.5,primary_exact,True
1400.0,0.419,1.43,2.93,1,30.0,0.789,1.318908187369808,168.0,3.0,5.0,0.0055,3.12,,,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-45,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),260.8,primary_exact,True
1400.0,0.417,1.4,4.34,1,30.0,0.7709999999999999,1.2139663700090892,130.0,3.0,5.0,0.0078,3.17,,,Pre-crosslinking enables a promising cyclodextrin-derived carbon anode with large plateau capacity for sodium ion batteries,CCS-60,醚类,1 M NaPF6 in ethylene glycol dimethyl ether (DME),251.9,primary_exact,True
1400.0,0.374,1.175,52.1,0,20.0,0.8109999999999999,1.45652103905577,188.87,3.0,3.0,0.0611,,,311.0,Pre-Oxidation Strategy Transforming Waste Foam to Hard Carbon Anodes for Boosting Sodium Storage Performance,WFC1400 ,酯类,"f 1 M NaPF6 in ethylene (EC) and dimethyl carbonate (DMC)
(volume ratio 1:1)",273.7,primary_exact,True
1400.0,0.382,1.18,15.3,0,20.0,0.901,2.208385407473747,216.19,3.0,3.0,0.0331,,,,Pre-Oxidation Strategy Transforming Waste Foam to Hard Carbon Anodes for Boosting Sodium Storage Performance,WFOC250-1400,酯类,"f 1 M NaPF6 in ethylene (EC) and dimethyl carbonate (DMC)
(volume ratio 1:1)",308.0,primary_exact,True
1400.0,0.398,1.198,10.8,0,20.0,0.894,2.1322666810614472,200.4,3.0,3.0,0.0238,,,,Pre-Oxidation Strategy Transforming Waste Foam to Hard Carbon Anodes for Boosting Sodium Storage Performance,WFOC280-1400,酯类,"f 1 M NaPF6 in ethylene (EC) and dimethyl carbonate (DMC)
(volume ratio 1:1)",290.1,primary_exact,True
900.0,0.375,2.21,195.7,0,100.0,0.547,0.1885566769389473,19.88,2.0,5.0,0.1393,,,318.0,Rationally Designing Closed Pore Structure by Carbon Dots to Evoke Sodium Storage Sites of Hard Carbon in Low-Potential Region,PNDCs,酯类,1 M NaClO4 in PC with 5.0% FEC w,147.4,primary_exact,True
900.0,0.392,2.89,181.3,0,100.0,0.623,0.5023013313394424,60.09,2.0,5.0,0.1409,,,,Rationally Designing Closed Pore Structure by Carbon Dots to Evoke Sodium Storage Sites of Hard Carbon in Low-Potential Region,PNDCs-500CDs,酯类,1 M NaClO4 in PC with 5.0% FEC w,207.15,primary_exact,True
1200.0,0.382,2.28,17.4,0,100.0,0.684,0.7722157040356386,76.08,2.0,5.0,0.08284,,,,Rationally Designing Closed Pore Structure by Carbon Dots to Evoke Sodium Storage Sites of Hard Carbon in Low-Potential Region,PNDCs-500CDs-1200 °C,酯类,1 M NaClO4 in PC with 5.0% FEC w,219.222,primary_exact,True
1800.0,0.365,0.75,13.0,1,20.0,0.805,1.4178427188548168,89.5,2.0,,,,,,Recycling of waste coal-based filter materials into carbon anode materials for potassium and sodium-ion batteries,WFC-1800,醚类,1.0 mol/L NaPF6 dissolved in methoxymethane (DME),241.7,primary_exact,True
1200.0,0.393,1.09,5.0,1,20.0,0.76,1.1526795099383855,107.81,2.0,,,,,325.0,Recycling spent masks to fabricate flexible hard carbon anode toward advanced sodium energy storage,HCF-1200,醚类,1 M NaPF6/Diglyme,213.19,primary_exact,True
1400.0,0.371,0.94,2.0,1,20.0,0.89,2.0907410969337694,174.73,2.0,,,,,,Recycling spent masks to fabricate flexible hard carbon anode toward advanced sodium energy storage,HCF-1400,醚类,1 M NaPF6/Diglyme,261.08,primary_exact,True
800.0,0.39,3.11,252.3,0,30.0,0.615,0.4683789335187336,50.0,2.0,5.0,,,,337.0,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-pre-800,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),201.8,primary_exact,True
1000.0,0.385,2.94,84.6,0,30.0,0.757,1.1363018100969002,112.0,2.0,5.0,,,,,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1000,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),246.4,primary_exact,True
1200.0,0.383,2.35,6.7,0,30.0,0.755,1.1254595387042978,158.0,2.0,5.0,,,,,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1200,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),265.4,primary_exact,True
1400.0,0.379,1.98,3.3,0,30.0,0.8340000000000001,1.614245614002204,219.0,2.0,5.0,,,,,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1400,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),309.2,primary_exact,True
1600.0,0.371,1.8,1.9,0,30.0,0.838,1.6434217652496987,236.0,2.0,5.0,,,,,Sawdust-derived hard carbon as a high-performance anode for sodium-ion batteries,SC-1600,酯类,1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate / methyl ethyl carbonate (EC: DMC: EMC = 1:1:1) with 2% fluoroethylene carbonate (FEC),287.7,primary_exact,True
800.0,0.368,1.084,239.89,1,10.0,0.481,-0.0760366130601272,64.08,,5.0,0.068,1.257,4.114,342.0,Selective synthesis of soft and hard carbons from a single precursor through tailor-made stabilization for anode in sodium-ion batteries,e-TSC8,醚类,"1.0 M solution of sodium hexafluorophosphate (NaPF6, 98.0 %) in a mixture of diethylene glycol dimethyl ether (DEGDME, 99.5 %) ",161.36,primary_exact,True
2000.0,0.343,1.306,17.7,1,10.0,0.629,0.5279291940930054,120.58,,5.0,0.006,7.159,12.818,,Selective synthesis of soft and hard carbons from a single precursor through tailor-made stabilization for anode in sodium-ion batteries,e-TSC20,醚类,"1.0 M solution of sodium hexafluorophosphate (NaPF6, 98.0 %) in a mixture of diethylene glycol dimethyl ether (DEGDME, 99.5 %) ",178.25,primary_exact,True
800.0,0.376,1.102,138.47,1,10.0,0.527,0.1081051600494295,48.93,,5.0,0.04,0.936,3.899,,Selective synthesis of soft and hard carbons from a single precursor through tailor-made stabilization for anode in sodium-ion batteries,e-ASC8,醚类,"1.0 M solution of sodium hexafluorophosphate (NaPF6, 98.0 %) in a mixture of diethylene glycol dimethyl ether (DEGDME, 99.5 %) ",192.82,primary_exact,True
1000.0,0.354,0.94,131.24,1,100.0,0.5760000000000001,0.3063742054639337,78.42,2.0,,,0.68,2.14,,Study of stable sodium ion storage in porous carbon derived from puffball biomass,PB-1000,醚类,1.0 M NaPF6 in dimethoxyethane (DME) = 100 vol%,255.93,primary_exact,True
1190.0,0.376,0.96,296.17,1,50.0,0.6596,0.6615121939862246,0.0,2.0,5.0,,,,,Synthesis of Low-Cost and High-Performance Dual-Atom Doped Carbon-Based Materials with a Simple Green Route as Anodes for Sodium-Ion Batteries,"(N, S)-C1190",醚类, 1 M NaPF6 in diglyme,327.59,primary_exact,True
1000.0,0.402,1.18,325.0,1,30.0,0.66,0.6632942174102643,53.65,2.0,,,,,373.0,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP5-1000,醚类,1 M NaPF6 in DEGDME,181.0,primary_exact,True
1200.0,0.397,1.15,103.0,1,30.0,0.74,1.0459685551826876,109.66,2.0,,,,,,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP5-1200,醚类,1 M NaPF6 in DEGDME,232.0,primary_exact,True
1400.0,0.39,1.16,46.0,1,30.0,0.8,1.3862943611198908,172.61,2.0,,,,,,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP3-1400,醚类,1 M NaPF6 in DEGDME,303.0,primary_exact,True
1400.0,0.388,1.05,29.0,1,30.0,0.76,1.1526795099383855,120.08,2.0,,,,,,Tailoring the microstructure and solid electrolyte interface of hard carbon to realize high-initial-coulombic-efficiency and high-rate sodium storage,LP7-1400,醚类,1 M NaPF6 in DEGDME,260.0,primary_exact,True
1100.0,0.411,1.664,15.611,0,100.0,0.5710000000000001,0.2859322907279935,25.0,5.0,5.0,,,,381.0,The effect of thermal treatment temperature on the crystal structure and electrochemical performance of the coconut shell-based hard carbon,HC-1100,酯类,1.0 M NaClO4/ EC-DEC (1: 1 by volume ratio) ,121.75,primary_exact,True
1200.0,0.367,1.85,115.9,0,30.0,0.682,0.7629782750632855,162.1,2.0,5.0,0.142,,,,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-140,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",265.8,primary_exact,True
1200.0,0.379,1.89,70.2,0,30.0,0.741,1.051172563596549,200.4,2.0,5.0,0.054,,,,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-160,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",294.3,primary_exact,True
1200.0,0.384,1.96,30.0,0,30.0,0.784,1.289130612666243,230.5,2.0,5.0,0.012,,,,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-180,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",327.4,primary_exact,True
1200.0,0.401,2.2,47.3,0,30.0,0.743,1.061619959822539,188.5,2.0,5.0,0.03,,,,Trash to treasure: Sulfonation-assisted transformation of waste masks into high-performance carbon anode for sodium-ion batteries,CM-200,酯类,"1 M NaClO4 in EC and DEC (1:1, v/v) ",287.8,primary_exact,True
1400.0,0.372,1.63,22.551,0,20.0,0.7662,1.1869771832285805,92.4,2.0,,0.016,1.83,3.82,389.0,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HC,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",276.0,primary_exact,True
1400.0,0.377,1.51,27.9862,0,20.0,0.8067,1.4287084657286433,186.5,2.0,,0.022,1.71,3.76,,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-600,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",325.0,primary_exact,True
1400.0,0.379,1.59,37.2031,0,20.0,0.7775,1.251156542447094,150.0,2.0,,0.028,1.67,3.33,,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-800,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",300.8,primary_exact,True
1400.0,0.381,1.71,51.9868,0,20.0,0.7447,1.070542128469162,140.3,2.0,,0.031,1.37,3.16,,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-1000,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",284.6,primary_exact,True
1400.0,0.378,1.81,78.4585,0,20.0,0.7639,1.1741814464558469,95.82,2.0,,0.052,1.46,3.23,,Understanding the Improved Sodium Ion Storage in Wood-Derived Hard Carbon Anodes by Hydrogen Treatment,HCH-1200,酯类,"he solvent mixture was a combination of ethylene carbonate and dimethyl carbonate in a 1:1 volume ratio, with a dissolved electrolyte of 1 M NaClO4",264.1,primary_exact,True
1100.0,0.376,1.1,9.068,1,50.0,0.5991,0.4017165094414178,159.1,3.0,2.0,,1.09,2.33,,Unraveling the effect of carbon morphology evolution in hard carbons on sodium storage performance,CHC-1100 ,醚类, 1.0 M NaPF6 in DME,278.4,primary_exact,True
1300.0,0.365,1.03,4.729,1,50.0,0.7059000000000001,0.8755537388414776,189.1,3.0,2.0,,1.14,2.84,,Unraveling the effect of carbon morphology evolution in hard carbons on sodium storage performance,CHC-1300 ,醚类, 1.0 M NaPF6 in DME,317.4,primary_exact,True
800.0,0.396,2.89,583.0,0,30.0,0.45,-0.2006706954621512,0.0,2.0,4.0,0.292,,,,"Utilization of PET derived hard carbon as a battery-type, higher plateau capacity anode for sodium-ion and potassium-ion batteries",WPET-800,酯类,"1 M NaClO4 in a binary mixture of ethylene carbonate (EC) and propylene carbonate (PC) (1:1, v/v)",254.0,primary_exact,True
1000.0,0.379,2.64,205.0,0,30.0,0.66,0.6632942174102643,153.6,2.0,4.0,0.186,,,,"Utilization of PET derived hard carbon as a battery-type, higher plateau capacity anode for sodium-ion and potassium-ion batteries",WPET-1000,酯类,"1 M NaClO4 in a binary mixture of ethylene carbonate (EC) and propylene carbonate (PC) (1:1, v/v)",337.0,primary_exact,True
1300.0,0.38,1.04,90.75,1,50.0,0.73,0.994622575144062,151.7,2.0,,0.036,1.42,1.6,414.0,Zinc Single-Atom-Regulated Hard Carbons for High-Rate and Low-Temperature Sodium-Ion Batteries,HC,醚类, 1 mol/L NaPF6 in diglyme,363.0,primary_exact,True
1000.0,0.393,2.09,329.0,1,50.0,0.654,0.6366685763994745,107.89,2.0,,0.154,,,416.0,A General Multi-Interface Strategy toward Densified Carbon Materials with Enhanced Comprehensive Electrochemical Performance for Li/Na-Ion Batteries,HCS-1000,醚类,1 m NaPF6 in diglyme,245.4,primary_exact,True
1000.0,0.389,2.03,478.4,1,50.0,0.5579999999999999,0.2330490803036126,27.89,2.0,,0.218,,,,A General Multi-Interface Strategy toward Densified Carbon Materials with Enhanced Comprehensive Electrochemical Performance for Li/Na-Ion Batteries,G@H-1000,醚类,1 m NaPF6 in diglyme,158.4,primary_exact,True
1000.0,0.364,2.01,13.3,1,50.0,0.703,0.861624753007965,108.0,2.0,,0.005,,,,A General Multi-Interface Strategy toward Densified Carbon Materials with Enhanced Comprehensive Electrochemical Performance for Li/Na-Ion Batteries,GH5-1000,醚类,1 m NaPF6 in diglyme,302.5,primary_exact,True
800.0,0.38,0.63,1079.88,0,100.0,0.4004999999999999,-0.4033822079591551,0.0,2.0,5.0,2.3172,1.22,,419.0,"A green route N, S-doped hard carbon derived from fruit-peel biomass waste as an anode material for rechargeable sodium-ion storage applications",MPC,酯类,"1 M NaClO4 (99.99%, Aldrich) 
dissolved in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 v/v)",338.0,primary_exact,True
900.0,0.399,0.89,578.2,0,50.0,0.3629,-0.5627993149034178,0.0,5.0,,,2.0,4.7,,Abnormal preferential oxygen functionalization on the surface of soft/hard carbon for sodium storage,HC,酯类, 1 M NaClO4 dissolved in Ethylene Carbonate and Propylene Carbonate with a volume ratio of 1:1 and 5 wt% fluoroethylene carbonate,187.23,primary_exact,True
900.0,0.399,0.95,352.7,0,50.0,0.5405,0.1623556952835211,0.0,5.0,,,1.6,4.5,,Abnormal preferential oxygen functionalization on the surface of soft/hard carbon for sodium storage,O-HC,酯类, 1 M NaClO4 dissolved in Ethylene Carbonate and Propylene Carbonate with a volume ratio of 1:1 and 5 wt% fluoroethylene carbonate,323.7,primary_exact,True
1000.0,0.382,1.37,38.0,0,30.0,0.73,0.994622575144062,141.0,1.0,5.0,,,,,Achieving high initial Coulombic efficiency for competent Na storage by microstructure tailoring from chiral nematic nanocrystalline cellulose,NCC1000,酯类,"1 M NaClO4 in EC and DMC (1:1, v/v) ",256.0,primary_exact,True
1500.0,0.373,1.52,13.0,0,30.0,0.9,2.19722457733622,239.0,1.0,5.0,,,,,Achieving high initial Coulombic efficiency for competent Na storage by microstructure tailoring from chiral nematic nanocrystalline cellulose,HTCNCC1500,酯类,"1 M NaClO4 in EC and DMC (1:1, v/v) ",314.0,primary_exact,True
1400.0,0.382,2.3,161.2,1,100.0,0.64,0.5753641449035619,128.9,,5.0,0.0121,1.329,2.105,428.0,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,L-HC,醚类,1 M NaPF6 in diglyme,231.0,primary_exact,True
1400.0,0.384,2.2,53.0,1,100.0,0.69,0.8001193001121129,160.1,,5.0,0.0177,1.281,2.055,,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,CL-HC,醚类,1 M NaPF6 in diglyme,259.0,primary_exact,True
1400.0,0.373,1.93,64.2,1,100.0,0.65,0.6190392084062236,108.6,,5.0,0.1107,1.409,2.053,,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,HL-HC,醚类,1 M NaPF6 in diglyme,236.0,primary_exact,True
1400.0,0.383,2.44,30.4,1,100.0,0.7,0.8472978603872034,150.72,,5.0,0.0493,1.296,2.147,,Agricultural Wastes for Full-Cell Sodium-Ion Batteries: Engineering Biomass Components to Maximize the Performance and Economic Prospects,CHL-HC,醚类,1 M NaPF6 in diglyme,240.0,primary_exact,True
1500.0,0.372,1.15,24.0,0,20.0,0.779,1.2598483443529955,169.3,1.0,10.0,0.018,1.15,4.26,435.0,An Overall Understanding of Sodium Storage Behaviors in Hard Carbons by an “Adsorption-Intercalation/Filling” Hybrid Mechanism,Glu,酯类,"(1 M NaClO4 in ethylene carbonate
(EC), diethyl carbonate (DEC) and propylene carbonate (PC) (1:1:1 by volume))",277.5,primary_exact,True
1500.0,0.371,1.24,82.0,0,20.0,0.797,1.367648699748428,242.6,1.0,10.0,0.187,1.04,4.28,,An Overall Understanding of Sodium Storage Behaviors in Hard Carbons by an “Adsorption-Intercalation/Filling” Hybrid Mechanism,Mg-Glu,酯类,"(1 M NaClO4 in ethylene carbonate
(EC), diethyl carbonate (DEC) and propylene carbonate (PC) (1:1:1 by volume))",367.1,primary_exact,True
1100.0,0.393,2.3,187.5,1,100.0,0.727,0.9794546823485596,107.4,2.0,5.0,,,,,Biomass-Derived Hard Carbon with Interlayer Spacing Optimization toward Ultrastable Na-Ion Storage,FHC-1100,醚类,1 M NaPF6 in diglyme,203.2,primary_exact,True
1500.0,0.363,1.72,46.6,1,100.0,0.718,0.9345624981101104,114.0,2.0,5.0,,,,,Biomass-Derived Hard Carbon with Interlayer Spacing Optimization toward Ultrastable Na-Ion Storage,FHC-1500,醚类,1 M NaPF6 in diglyme,144.0,primary_exact,True
