carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce,plateau_capacity_mAh_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,record_id,doi,material_name,category,electrolyte_text,reversible_capacity_mAh_g,mapping_method,mapping_found
1500.0,0.389,1.755,11.1,1,20.0,0.7559999999999999,1.1308731508863306,217.3,2.0,,0.00244,1.149,4.694,,Regulating oxygen functionalities of cellulose-derived hard carbon toward superior sodium storage,Cel-Ar300–1500,醚类,1 M NaPF6 (ethylene carbonate/diethyl carbonate = 1 : 1 in volume),361.0,primary_exact,True
1400.0,0.383,1.116,3.5726,1,50.0,0.823,1.5368064681032405,203.64,2.0,5.0,,0.84,3.66,,Tuning Nanopore Structure of Hard Carbon Anodes by Zinc Gluconate for High Capacity Sodium Ion Batteries, GLU-Zn5,醚类,1 M NaCF3SO3 in DIGLYME,327.27,primary_exact,True
1400.0,0.393,1.057,4.6857,1,50.0,0.84,1.6582280766035322,210.0,2.0,5.0,,0.99,3.71,,Tuning Nanopore Structure of Hard Carbon Anodes by Zinc Gluconate for High Capacity Sodium Ion Batteries,GLU-Zn10,醚类,1 M NaCF3SO3 in DIGLYME,333.48,primary_exact,True
1400.0,0.378,1.012,4.4029,1,50.0,0.7879999999999999,1.312911815185866,154.18,2.0,5.0,,1.42,3.13,,Tuning Nanopore Structure of Hard Carbon Anodes by Zinc Gluconate for High Capacity Sodium Ion Batteries,GLU-Zn20,醚类,1 M NaCF3SO3 in DIGLYME,256.73,primary_exact,True
1200.0,0.372,0.95,5.51,0,50.0,0.6679999999999999,0.6991532046201568,164.2,2.0,5.0,0.00264,,4.31,33.0,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,BA ,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",347.6,primary_exact,True
1200.0,0.364,1.43,0.404,0,50.0,0.6801999999999999,0.7546910721732408,109.9,2.0,5.0,0.0094,1.04,2.85,,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,MMZ,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",206.5,primary_exact,True
1200.0,0.365,1.17,0.739,0,50.0,0.6742,0.7272431066320156,99.2,2.0,5.0,0.00097,0.78,3.0,,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,IQL,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",220.0,primary_exact,True
800.0,0.355,1.62,294.5,1,200.0,0.485,-0.060018009726253,0.0,1.0,5.0,0.155,,,49.0,A superior sodium-ion anode material from PAN/Lignin-derived carbon nanofibers with inter-connected structure prepared through phosphoric acid induced cross-linking,CNFs,醚类,"1.0 M NaPF6 in a solvent of 1, 2-Dimethoxyethane (DME)",170.0,primary_exact,True
650.0,0.365,2.18,1529.1,0,100.0,0.147,-1.7583269607129428,0.0,1.0,3.0,1.449,,,51.0,"Advanced Carbon Based Materials for Fabrications of Sodium Ion Hybrid Capacitors
with High Electrochemical Performance",MCC-650,酯类,"1M NaClO4 in ethylene
carbonate (EC)/dimethyl carbonate (DMC) (1 : 1 by volume) with
5 vol% fluoroethylene carbonates (FEC). ",168.42,primary_exact,True
750.0,0.378,1.29,1752.0,0,100.0,0.331,-0.7036656847511655,0.0,2.0,3.0,1.5456,,,57.0,Agar-Derived Slope-Dominated Carbon Anode with Puparium Like Nano-Morphology for Cost-Effective SIBs,HC,酯类,1.0 M NaClO4 in ethylene carbonate/diethyl carbonate (1:1 v/v),256.0,primary_exact,True
750.0,0.391,2.04,706.0,0,100.0,0.421,-0.3186696438906137,0.0,2.0,3.0,0.6814,,,,Agar-Derived Slope-Dominated Carbon Anode with Puparium Like Nano-Morphology for Cost-Effective SIBs,P-HC-2,酯类,1.0 M NaClO4 in ethylene carbonate/diethyl carbonate (1:1 v/v),394.0,primary_exact,True
1200.0,0.41,2.69,14.5,1,30.0,0.71,0.8953840470548413,174.72,3.0,3.0,,2.5,8.9,62.0,Amine–Aldehyde Condensation-Derived N-Doped Hard Carbon Microspheres for High-Capacity and Robust Sodium Storage,NHCM-1200,醚类,1.0 M NaPF6 in Diglyme,336.0,primary_exact,True
1400.0,0.37,1.99,8.6,1,30.0,0.87,1.900958761193047,203.49,3.0,3.0,,3.0,11.5,,Amine–Aldehyde Condensation-Derived N-Doped Hard Carbon Microspheres for High-Capacity and Robust Sodium Storage,NHCM-1400,醚类,1.0 M NaPF6 in Diglyme,399.0,primary_exact,True
1400.0,0.363,1.49,14.3,0,20.0,0.8420000000000001,1.6731849812153603,174.9,2.0,3.0,0.031,,,65.0,An effective strategy to prepare non-graphitic carbon with increased pseudo-graphitic content for sodium-ion battery anode with enhanced plateau capacity,FC-800,酯类,1 M NaPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 in volume),279.9,primary_exact,True
1400.0,0.371,1.62,26.3,0,20.0,0.84,1.6582280766035322,186.9,2.0,3.0,0.032,,,,An effective strategy to prepare non-graphitic carbon with increased pseudo-graphitic content for sodium-ion battery anode with enhanced plateau capacity,FC-0.5–600,酯类,1 M NaPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 in volume),287.3,primary_exact,True
1400.0,0.37,1.54,6.8,0,20.0,0.847,1.7112627732596188,218.6,2.0,3.0,0.022,,,,An effective strategy to prepare non-graphitic carbon with increased pseudo-graphitic content for sodium-ion battery anode with enhanced plateau capacity,FC-800–0.5–600,酯类,1 M NaPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 in volume),326.8,primary_exact,True
1500.0,0.378,1.61,12.1,0,37.2,0.87,1.900958761193047,214.83,1.0,5.0,0.0084,1.1,4.2,69.0,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-Cell,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",307.6,primary_exact,True
1500.0,0.375,1.64,6.0,0,37.2,0.8029999999999999,1.405150985208773,194.29,1.0,5.0,0.0052,1.1,4.5,,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-L,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",273.2,primary_exact,True
1500.0,0.373,1.59,2.4,0,37.2,0.86,1.815289966638249,169.96,1.0,5.0,0.0031,1.2,4.5,,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-Ch,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",256.3,primary_exact,True
1500.0,0.377,1.63,2.4,0,37.2,0.8859999999999999,2.0505185022105845,199.62,1.0,5.0,0.0025,1.1,4.2,,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-P-St,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",291.6,primary_exact,True
1500.0,0.379,1.62,14.7,0,37.2,0.858,1.7987770418867015,205.32,1.0,5.0,0.0097,1.0,4.0,,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-R-St,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",308.6,primary_exact,True
1100.0,0.36,1.78,9.8,0,25.0,0.6834,0.7694411922342798,115.88,2.0,,,,,88.0,Carbon nanosheet with controlled porous and disorganized structures as high-rate anode for high-energy Na-ion hybrid capacitors,HS,酯类,1 M NaClO4 dissolved in 1:1 (volume ratio) EC and DEC,257.2,primary_exact,True
1100.0,0.404,2.58,8.44,0,30.0,0.679,0.7491800044286804,148.48,1.0,5.0,,1.19,4.24,,Cellulose as a novel precursor to construct high-performance hard carbon anode toward enhanced sodium-ion batteries,CHC-1100,酯类,"1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate (EC/DEC, 1:1 in volume) ",327.9,primary_exact,True
1300.0,0.397,2.39,7.12,0,30.0,0.7140000000000001,0.9148911515197322,199.63,1.0,5.0,,1.24,4.33,,Cellulose as a novel precursor to construct high-performance hard carbon anode toward enhanced sodium-ion batteries,CHC-1300,酯类,"1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate (EC/DEC, 1:1 in volume) ",373.2,primary_exact,True
