carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,plateau_capacity_mAh_g
1700.0,0.37,1.97,3.6883,1,30.0,240.0
1500.0,0.354,1.08,75.11,0,20.0,100.89
1500.0,0.36,1.1,71.12,0,20.0,132.37
1500.0,0.365,1.13,60.83,0,20.0,135.03
1500.0,0.372,1.18,61.15,0,20.0,152.34
1500.0,0.373,1.22,59.4,0,20.0,163.03
1500.0,0.375,1.27,77.02,0,20.0,202.67
1000.0,0.41,4.0,11.2,0,20.0,81.96
1200.0,0.396,3.7,19.7,0,20.0,143.53
1400.0,0.392,2.56,10.5,0,20.0,178.82
1600.0,0.346,2.38,10.3,0,20.0,184.31
1200.0,0.392,2.22,103.1,0,20.0,120.63
1400.0,0.388,1.96,5.8,0,20.0,216.5
1600.0,0.351,1.85,4.0,0,20.0,163.06
800.0,0.405,0.97,39.4,0,30.0,0.0
1000.0,0.358,0.98,9.5,0,30.0,0.0
1300.0,0.379,1.28,29.3,1,10.0,176.64
900.0,0.361,0.83,10.42,1,20.0,36.88
900.0,0.3617,0.85,12.3,1,20.0,65.56
900.0,0.3625,0.87,12.29,1,20.0,75.0
900.0,0.3639,0.88,8.2,1,20.0,76.6
800.0,0.387,2.04,136.0,0,50.0,53.72
1000.0,0.385,2.01,120.7,0,50.0,85.2
1200.0,0.386,1.96,4.9,0,50.0,121.43
1400.0,0.366,1.91,4.1,0,50.0,137.44
1600.0,0.343,1.89,4.1,0,50.0,150.0
800.0,0.347,1.66,8.4,0,50.0,0.0
1000.0,0.348,1.39,3.5,0,50.0,0.0
650.0,0.37,1.04,5.74,0,100.0,0.0
650.0,0.38,1.06,10.86,0,100.0,0.0
1200.0,0.41,1.04,221.59,0,50.0,179.0
1000.0,0.388,1.05,85.1,0,30.0,67.89
1300.0,0.385,1.08,34.4,0,30.0,180.0
1300.0,0.378,1.12,28.0,0,30.0,146.0
1500.0,0.377,1.12,26.1,0,30.0,212.25
1500.0,0.357,1.39,22.6,0,30.0,118.58
1100.0,0.398,2.59,22.9,0,20.0,155.86
1100.0,0.387,2.41,2.96,0,20.0,200.0
1100.0,0.39,2.69,54.13,0,20.0,168.28
1100.0,0.394,2.44,5.26,0,20.0,180.69
1500.0,0.361,1.43,1.5,0,37.2,203.38
1500.0,0.367,1.49,1.3,0,37.2,204.0
1500.0,0.357,1.36,2.2,0,37.2,195.14
1500.0,0.364,1.43,2.2,0,37.2,219.81
1200.0,0.369,1.85,223.18,1,100.0,140.58
900.0,0.373,0.96,62.3,0,20.0,89.74
1100.0,0.371,0.98,12.7,0,20.0,109.78
750.0,0.374,0.97,1641.0,0,100.0,0.0
