carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce
1100.0,0.385,2.194,328.0,0,20.0,0.691,0.8047985468699241
1000.0,0.377,1.851851852,93.25,0,20.0,0.7437999999999999,1.0658137920283353
1200.0,0.376,1.694915254,54.04,0,20.0,0.7962,1.3627112897775924
1400.0,0.371,1.449275362,17.34,0,20.0,0.8643000000000001,1.8514733639177696
1600.0,0.37,1.204819277,11.99,0,20.0,0.7701,1.2088759447760686
1300.0,0.38,1.17,285.8,0,25.0,0.7256999999999999,0.9729143083405332
1300.0,0.372,1.05,6.9,0,25.0,0.73,0.9946225751440619
1300.0,0.378,1.03,2.9,0,25.0,0.7881999999999999,1.3141094315935966
1100.0,0.39,1.07,122.5,0,100.0,0.5683,0.27491854574164404
1200.0,0.392,1.22,158.0,0,33.0,0.59,0.3639653772014115
700.0,0.351,1.62,5.75,0,30.0,0.57,0.2818511521409875
1100.0,0.38,1.51,316.0,0,100.0,0.5429999999999999,0.1724259290397304
1100.0,0.37,1.34,296.0,0,100.0,0.5579999999999999,0.2330490803036126
1000.0,0.386,2.22,74.7,0,100.0,0.68,0.7537718023763803
800.0,0.38,1.03,188.0,0,100.0,0.5125,0.0500104205746612
800.0,0.41,1.1,478.0,0,100.0,0.469,-0.12415925279565959
1050.0,0.366,1.11,154.0,1,50.0,0.579,0.3186696438906136
1050.0,0.365,1.14,162.0,1,50.0,0.574,0.2981900500501958
900.0,0.373,2.64,3.297,0,30.0,0.5579999999999999,0.2330490803036126
1100.0,0.374,2.19,9.521,0,30.0,0.6859999999999999,0.7814846418176316
1300.0,0.37,1.98,24.017,0,30.0,0.72,0.9444616088408513
1500.0,0.366,1.58,11.577,0,30.0,0.736,1.02528101558256
1700.0,0.363,1.45,9.609,0,30.0,0.716,0.9247059287994395
1900.0,0.358,1.31,11.254,0,30.0,0.688,0.7907856501238609
800.0,0.359,1.74,5.0,0,20.0,0.53,0.12014431184206341
1200.0,0.39,1.63,10.055,0,30.0,0.79,1.3249254147435987
1400.0,0.38,1.71,9.162,0,30.0,0.8,1.3862943611198908
1300.0,0.3978,2.3253,563.52,0,25.0,0.64,0.5753641449035619
1500.0,0.3891,2.0068,450.23,0,25.0,0.57,0.2818511521409875
700.0,0.3786,2.13,307.2,0,20.0,0.4,-0.4054651081081643
700.0,0.3941,2.7,602.1,0,20.0,0.34,-0.663294217410264
1100.0,0.373,2.285,35.741,0,25.0,0.6990000000000001,0.8425404774849349
1100.0,0.374,2.296,47.019,0,25.0,0.7440000000000001,1.06686359035353
1100.0,0.379,2.827,88.864,0,25.0,0.737,1.030433860011572
1100.0,0.38,2.553,355.024,0,25.0,0.684,0.7722157040356386
1200.0,0.4028,1.28,11.33,0,50.0,0.7039,0.8659390655065401
1200.0,0.3812,1.33,12.73,0,50.0,0.6896,0.7982499310404197
1300.0,0.375,1.077,6.78,0,25.0,0.767,1.1914483478015556
1300.0,0.366,1.024,5.34,0,25.0,0.82,1.5163474893680882
1300.0,0.356,1.002,4.74,0,25.0,0.748,1.087973890463054
1000.0,0.38,3.05,56.0,0,20.0,0.77,1.2083112059245342
1200.0,0.379,2.96,31.0,0,20.0,0.82,1.5163474893680882
1400.0,0.374,2.43,11.0,0,20.0,0.83,1.5856272637403817
1600.0,0.369,2.16,5.0,0,20.0,0.83,1.5856272637403817
1300.0,0.374,1.59,20.74,0,50.0,0.72,0.9444616088408513
1000.0,0.374,1.54,11.8,0,25.0,0.61,0.44731221804366483
1300.0,0.368,1.41,12.6,0,25.0,0.7,0.8472978603872034
1600.0,0.361,0.78,11.2,0,25.0,0.74,1.0459685551826876
1000.0,0.375,1.79,13.2,0,25.0,0.62,0.4895482253187058
1300.0,0.37,1.14,16.3,0,25.0,0.74,1.0459685551826876
1600.0,0.361,0.78,14.6,0,25.0,0.72,0.9444616088408513
1100.0,0.385,1.051,32.7,0,100.0,0.5655,0.2635143508507284
1100.0,0.389,1.047,8.8,0,100.0,0.5945,0.382599842575369
1100.0,0.378,1.084,16.3,0,100.0,0.534,0.13621020483454901
1100.0,0.387,1.05,9.4,0,100.0,0.64,0.5753641449035619
